"year","0__0","1__0","2__0","3__0","4__0","5__0","6__0","7__0","8__0","9__0","10__0","11__0","12__0","13__0","14__0","15__0","16__0","17__0","18__0","19__0","20__0","21__0","22__0","23__0","24__0","25__0","26__0","27__0","28__0","29__0","30__0","31__0","32__0","33__0","34__0","35__0","36__0","37__0","38__0","39__0","40__0","41__0","42__0","43__0","44__0","45__0","46__0","47__0","48__0","49__0","50__0","51__0","52__0","53__0","54__0","55__0","56__0","57__0","58__0","59__0","60__0","61__0","62__0","63__0","64__0","65__0","66__0","67__0","68__0","69__0","70__0","71__0","72__0","73__0","74__0","75__0","76__0","77__0","78__0","79__0","80__0","81__0","82__0","83__0","84__0","85__0","86__0","87__0","88__0","89__0","90__0"
"1950",0.060684,0.005242,0.001982,0.00134,0.001075,0.000913,0.000777,0.000754,0.000702,0.000657,0.000619,0.000666,0.000684,0.000711,0.000852,0.001053,0.001088,0.001272,0.001346,0.001518,0.001542,0.001762,0.00203,0.001875,0.002035,0.002138,0.002264,0.002354,0.002288,0.00245,0.002648,0.002408,0.002834,0.002776,0.002817,0.003321,0.003167,0.003685,0.003742,0.004286,0.004508,0.00481,0.005416,0.005983,0.006503,0.007057,0.007731,0.008294,0.008731,0.009971,0.011212,0.011787,0.01296,0.013696,0.014797,0.015753,0.017177,0.018259,0.019153,0.021504,0.022714,0.024546,0.026506,0.029112,0.031825,0.034312,0.037388,0.04017,0.045017,0.047194,0.052755,0.059076,0.065029,0.069445,0.078142,0.084969,0.093712,0.10464,0.108252,0.126136,0.140149,0.148609,0.165628,0.183979,0.196279,0.216197,0.234025,0.255595,0.283749,0.300228,0.325634
"1951",0.057995,0.005985,0.001921,0.001433,0.001047,0.000851,0.000692,0.000677,0.000619,0.000487,0.000584,0.000599,0.000491,0.000732,0.00082,0.000937,0.00091,0.00112,0.001371,0.001526,0.001422,0.00156,0.001763,0.001954,0.002181,0.002195,0.002113,0.002253,0.002224,0.002351,0.002362,0.002743,0.002722,0.002949,0.002906,0.003216,0.00361,0.003568,0.003763,0.004161,0.004632,0.005209,0.005734,0.00606,0.006448,0.007167,0.008027,0.008664,0.009383,0.010155,0.011486,0.012294,0.013544,0.013915,0.015044,0.01629,0.01843,0.019306,0.020676,0.0218,0.023519,0.026084,0.02745,0.030218,0.033238,0.036315,0.039134,0.042501,0.046615,0.050531,0.055744,0.061874,0.068666,0.075191,0.080507,0.092501,0.100851,0.110659,0.126506,0.132478,0.149309,0.165923,0.180656,0.193092,0.21549,0.235379,0.265909,0.284942,0.304489,0.332707,0.342205
"1952",0.052064,0.0059,0.001943,0.001212,0.000961,0.000835,0.00056,6e-04,0.000614,0.000554,0.000459,0.000484,0.000491,0.000558,0.000836,0.000847,0.000987,0.001158,0.001192,0.00137,0.001448,0.001483,0.001765,0.001757,0.001923,0.001779,0.001796,0.001916,0.002061,0.002177,0.002074,0.002253,0.002713,0.0022,0.002773,0.003117,0.002609,0.003535,0.003509,0.003801,0.004083,0.004447,0.005044,0.005375,0.005977,0.006749,0.007362,0.008065,0.008652,0.009602,0.010894,0.011626,0.01219,0.013447,0.014874,0.015255,0.017091,0.018965,0.02008,0.02117,0.022655,0.024191,0.026394,0.028668,0.031759,0.033441,0.036768,0.040023,0.0441,0.048446,0.052646,0.056959,0.063684,0.069333,0.075764,0.082303,0.093647,0.101783,0.110625,0.126043,0.129892,0.150778,0.160816,0.173593,0.19923,0.216439,0.234305,0.252209,0.287134,0.307436,0.321431
"1953",0.048698,0.004545,0.001899,0.001119,0.000958,0.000799,0.000614,0.000468,0.000511,0.000505,0.000504,0.000462,0.000526,0.000534,0.000666,0.000716,0.00097,0.001181,0.001205,0.001381,0.001419,0.001328,0.00172,0.00175,0.001837,0.001787,0.001849,0.002022,0.001969,0.00198,0.002246,0.002201,0.002436,0.002845,0.002357,0.002405,0.003032,0.003025,0.003816,0.003671,0.004297,0.004462,0.004877,0.005692,0.006118,0.006594,0.007626,0.008655,0.009225,0.009687,0.011018,0.012043,0.01276,0.014231,0.015362,0.016435,0.018403,0.018655,0.021409,0.022532,0.023767,0.025661,0.027864,0.029837,0.032175,0.036212,0.039325,0.042467,0.047319,0.050845,0.055791,0.06146,0.067926,0.07428,0.083449,0.092169,0.101505,0.110606,0.122888,0.131832,0.149067,0.153136,0.180227,0.198014,0.205039,0.23409,0.257334,0.275675,0.30395,0.32873,0.352375
"1954",0.047593,0.004449,0.001646,0.000982,0.000788,0.000609,0.000549,0.000474,0.000474,0.000524,0.000477,0.000478,0.000427,0.000502,0.000544,0.000725,0.000934,0.001013,0.001271,0.001396,0.001419,0.001242,0.001554,0.001626,0.001636,0.00177,0.00193,0.001669,0.001863,0.002069,0.002154,0.002085,0.00233,0.002392,0.002941,0.002771,0.003103,0.003163,0.003275,0.003847,0.00404,0.004339,0.005117,0.005236,0.00572,0.006619,0.007322,0.008187,0.008429,0.009831,0.010492,0.011685,0.012205,0.013174,0.015246,0.015776,0.017357,0.018507,0.019146,0.021179,0.023091,0.025083,0.026657,0.028318,0.031463,0.033135,0.035984,0.039689,0.043848,0.047474,0.051605,0.056085,0.063506,0.06774,0.076611,0.083755,0.091331,0.097608,0.109664,0.121311,0.131421,0.146976,0.152315,0.175725,0.195854,0.209497,0.230686,0.254341,0.277773,0.308089,0.32726
"1955",0.044564,0.004281,0.001513,0.001059,0.000815,0.000588,0.000543,0.000428,0.000434,0.000442,0.000396,0.000452,0.000523,0.000499,0.000634,0.00077,0.000806,0.001053,0.001329,0.001436,0.001661,0.001269,0.001553,0.00171,0.001912,0.001967,0.001706,0.001885,0.001904,0.001953,0.002112,0.002088,0.002469,0.002397,0.002708,0.00314,0.002714,0.003308,0.003248,0.003086,0.004159,0.004141,0.004693,0.00529,0.005719,0.006473,0.007127,0.00751,0.008571,0.009272,0.010522,0.011266,0.012248,0.013511,0.014507,0.015819,0.017106,0.018397,0.019807,0.021814,0.023371,0.02477,0.026047,0.029465,0.03116,0.033559,0.035734,0.040092,0.043503,0.048456,0.051784,0.056405,0.064121,0.071481,0.075099,0.084611,0.092794,0.100657,0.111009,0.122118,0.137505,0.146397,0.165535,0.169496,0.197517,0.212087,0.2391,0.258847,0.280505,0.304346,0.321813
"1956",0.041876,0.003549,0.001484,0.000965,0.000802,0.000669,0.000581,0.000496,0.000407,0.000433,0.000376,0.000381,0.000382,0.00042,0.000608,0.000769,0.000802,0.000944,0.001299,0.001508,0.00145,0.001119,0.001237,0.001739,0.001601,0.0016,0.001781,0.001816,0.001864,0.001927,0.002199,0.002259,0.00223,0.002565,0.002627,0.002694,0.00329,0.003036,0.003431,0.003809,0.003531,0.004906,0.004945,0.005472,0.006027,0.006599,0.007182,0.007825,0.008639,0.00961,0.011027,0.011543,0.012632,0.013998,0.014726,0.016125,0.017763,0.019419,0.020856,0.022309,0.023606,0.026376,0.028023,0.030492,0.031561,0.034774,0.038519,0.04095,0.045042,0.050142,0.055301,0.05813,0.064164,0.071489,0.07876,0.085627,0.097215,0.108222,0.117195,0.12587,0.141443,0.1547,0.17069,0.188214,0.200889,0.227732,0.248914,0.269622,0.295311,0.3282,0.332065
"1957",0.038745,0.003859,0.001504,0.001003,0.000832,0.000656,0.000602,0.000536,0.000491,0.000379,0.000436,0.000437,0.000473,0.000524,0.000633,0.000734,0.000943,0.001204,0.001441,0.001585,0.00125,0.001317,0.001316,0.001756,0.001932,0.002026,0.002002,0.002093,0.002023,0.00199,0.00238,0.002199,0.002348,0.002469,0.002452,0.002655,0.002728,0.003397,0.003176,0.003798,0.003784,0.003808,0.00497,0.005109,0.005579,0.006235,0.006659,0.007573,0.008523,0.009323,0.010092,0.011359,0.012726,0.013064,0.014732,0.01609,0.017126,0.019268,0.020294,0.022222,0.023892,0.025247,0.028203,0.029651,0.032109,0.03433,0.038367,0.041329,0.044331,0.04994,0.054368,0.058506,0.063421,0.070096,0.077782,0.084682,0.088792,0.103432,0.110619,0.122065,0.131625,0.14552,0.160139,0.174303,0.190996,0.203063,0.239045,0.256693,0.276178,0.302112,0.32343
"1958",0.035926,0.00313,0.001296,0.000851,0.000733,0.000564,0.000496,0.000419,0.00039,0.000393,0.000368,0.000379,0.000368,0.000411,0.000592,0.000714,0.000837,0.000864,0.001311,0.00151,0.001438,0.001009,0.001197,0.001642,0.001765,0.001796,0.001802,0.001886,0.001945,0.001883,0.002016,0.002118,0.002097,0.002298,0.002339,0.002488,0.002803,0.002634,0.003363,0.002973,0.003811,0.00371,0.003925,0.00492,0.00483,0.005478,0.005974,0.006304,0.007239,0.00835,0.009263,0.010016,0.010719,0.011834,0.013378,0.014336,0.015971,0.017013,0.018348,0.020407,0.02206,0.023057,0.024742,0.027256,0.029547,0.031625,0.034382,0.036134,0.040684,0.044262,0.048406,0.052632,0.058032,0.062921,0.071638,0.076465,0.086029,0.091704,0.105805,0.11558,0.125824,0.134199,0.153232,0.169367,0.184831,0.202143,0.207983,0.24063,0.263563,0.284794,0.297316
"1959",0.034139,0.002993,0.001315,0.000831,0.000803,0.000641,0.000525,0.00047,0.000471,0.000422,0.000422,0.000407,0.000431,0.00044,0.000657,0.000726,0.000871,0.001125,0.001297,0.001555,0.001298,0.001072,0.001261,0.001605,0.001633,0.001753,0.00177,0.001738,0.001877,0.001871,0.002138,0.002027,0.002197,0.002261,0.002391,0.002531,0.002531,0.003076,0.003019,0.003347,0.00333,0.00388,0.00433,0.004199,0.005398,0.005494,0.006181,0.006636,0.007772,0.008015,0.009231,0.010188,0.010996,0.0119,0.01355,0.014148,0.016407,0.017305,0.019054,0.02025,0.022017,0.024098,0.025768,0.027795,0.030233,0.032425,0.034632,0.037955,0.039811,0.04376,0.048747,0.054902,0.058916,0.065166,0.070654,0.077331,0.086252,0.094871,0.099717,0.115336,0.124549,0.137678,0.152548,0.168698,0.179756,0.19488,0.220178,0.221157,0.257151,0.280568,0.292808
"1960",0.031469,0.002534,0.001245,0.000809,0.000628,0.000526,0.000423,0.000449,0.000461,0.000411,0.000352,4e-04,0.000394,0.000401,0.000518,0.000622,0.000727,0.001058,0.001148,0.001335,0.001107,0.000968,0.001263,0.001444,0.001577,0.001644,0.001454,0.001646,0.001669,0.001897,0.001902,0.001918,0.002165,0.002297,0.002431,0.002466,0.002646,0.002722,0.002935,0.003213,0.003881,0.003431,0.004157,0.004183,0.004521,0.005788,0.006125,0.006446,0.007674,0.008323,0.009376,0.010425,0.011104,0.012832,0.013399,0.014668,0.016024,0.017778,0.019226,0.020812,0.023065,0.024859,0.02685,0.028607,0.030299,0.032937,0.035384,0.039334,0.041667,0.044939,0.050031,0.054745,0.060822,0.065897,0.073001,0.080156,0.08698,0.09646,0.106797,0.116121,0.127217,0.142641,0.155831,0.165653,0.187797,0.206012,0.227327,0.253351,0.255458,0.293467,0.330206
"1961",0.029747,0.002412,0.001038,0.000789,0.00068,0.000565,0.000501,0.000485,0.00045,0.000385,0.000364,0.000328,0.000399,0.000404,0.000553,0.00076,0.000883,0.001134,0.001372,0.001333,0.001195,0.001218,0.00127,0.001599,0.001634,0.001723,0.001813,0.001779,0.001876,0.001882,0.001944,0.002096,0.002218,0.002214,0.002353,0.002482,0.002561,0.003043,0.002999,0.003283,0.003695,0.004312,0.003941,0.004579,0.00508,0.005192,0.00594,0.006426,0.007309,0.008272,0.008704,0.009641,0.010691,0.012062,0.012905,0.013983,0.015725,0.017074,0.018676,0.020096,0.021891,0.023921,0.025904,0.027696,0.029958,0.03204,0.034387,0.036823,0.039692,0.042958,0.047645,0.052303,0.055498,0.062071,0.067,0.075525,0.082496,0.090104,0.100649,0.109474,0.117255,0.129519,0.144281,0.158943,0.174448,0.194867,0.209669,0.227404,0.252637,0.257121,0.277829
"1962",0.029728,0.002439,0.001059,0.000833,0.000659,0.000564,0.000567,0.000489,0.000448,0.000402,0.000384,0.000351,0.000413,0.000427,0.000529,0.000666,0.000879,0.001033,0.001341,0.001328,0.001199,0.00114,0.001376,0.001589,0.001424,0.001573,0.001609,0.001668,0.001688,0.001904,0.002034,0.002093,0.002017,0.002264,0.002483,0.002595,0.002675,0.003084,0.003238,0.003619,0.003663,0.00408,0.004653,0.004168,0.005275,0.005713,0.00561,0.006925,0.007373,0.008513,0.008878,0.010119,0.011185,0.012256,0.013439,0.015061,0.016174,0.017376,0.019323,0.021114,0.022606,0.024379,0.026539,0.028905,0.031822,0.034227,0.036456,0.039532,0.042853,0.046132,0.049494,0.05507,0.058682,0.065094,0.072511,0.079946,0.088799,0.096184,0.105477,0.11985,0.129097,0.138474,0.158643,0.173003,0.189476,0.209277,0.234844,0.252151,0.27105,0.305267,0.309771
"1963",0.029679,0.002266,0.001089,0.000766,0.00066,0.000616,0.000464,0.000427,0.000446,0.000372,0.000395,0.000356,0.000331,0.000454,0.000557,0.000679,0.000848,0.001013,0.001317,0.001236,0.001101,0.001493,0.001634,0.001561,0.001538,0.001677,0.001549,0.001644,0.001602,0.001743,0.001936,0.001871,0.002118,0.002345,0.002327,0.002675,0.002829,0.002804,0.00318,0.003416,0.003632,0.003935,0.004243,0.005031,0.00497,0.005591,0.006313,0.006625,0.008268,0.008133,0.009183,0.009919,0.010994,0.012454,0.013594,0.015602,0.016478,0.018019,0.020369,0.021683,0.023894,0.025865,0.026951,0.030096,0.032474,0.035371,0.037722,0.04024,0.044924,0.047439,0.052113,0.055778,0.06134,0.066666,0.07419,0.081283,0.089947,0.100375,0.110673,0.121654,0.131731,0.143964,0.153309,0.174535,0.192935,0.211006,0.230674,0.254593,0.27655,0.292552,0.320314
"1964",0.026946,0.001901,0.000991,0.000741,0.000558,0.000552,0.000483,0.000403,0.000388,0.000421,0.000409,0.000335,0.000427,0.000485,0.000587,0.000695,0.000859,0.001124,0.001339,0.001161,0.00126,0.001589,0.00168,0.001503,0.001774,0.001706,0.001698,0.001641,0.001646,0.001775,0.00178,0.001791,0.002034,0.0021,0.002275,0.002632,0.00269,0.002911,0.002981,0.003332,0.003524,0.003933,0.004275,0.004582,0.005313,0.005354,0.005986,0.006532,0.006398,0.008167,0.008576,0.009498,0.01038,0.01171,0.012937,0.014112,0.015515,0.017129,0.01819,0.019987,0.022223,0.023479,0.0265,0.027907,0.031135,0.032124,0.035552,0.03819,0.04114,0.045948,0.048931,0.05312,0.057605,0.062514,0.067466,0.074956,0.080659,0.090814,0.098803,0.110697,0.118321,0.133033,0.146967,0.155625,0.174445,0.184422,0.203634,0.216821,0.246334,0.260913,0.273248
"1965",0.024779,0.001738,0.00095,0.000753,0.000607,0.000571,0.000513,0.000425,0.000407,0.000404,0.00037,0.000355,0.000399,0.000383,0.000637,0.00076,0.000938,0.001074,0.001226,0.001267,0.001352,0.001701,0.001587,0.001505,0.001488,0.001542,0.001574,0.001543,0.001666,0.001775,0.001695,0.001869,0.002158,0.002174,0.002477,0.002549,0.002824,0.002864,0.003273,0.003563,0.003819,0.003884,0.004386,0.004743,0.005433,0.006188,0.005714,0.006979,0.007676,0.007125,0.009644,0.009685,0.011149,0.011852,0.012835,0.014366,0.015772,0.017567,0.019308,0.020806,0.022993,0.024126,0.026952,0.029265,0.031459,0.034265,0.037866,0.039762,0.042973,0.046868,0.051256,0.053877,0.059031,0.064309,0.071276,0.077262,0.086174,0.093328,0.103987,0.115374,0.123952,0.133537,0.150877,0.162057,0.176901,0.200548,0.220203,0.23477,0.258903,0.272576,0.291308
"1966",0.025088,0.001746,0.000924,0.000599,0.000592,0.000549,0.000497,0.000405,4e-04,0.000381,0.00033,0.000341,0.000359,0.000374,0.000564,9e-04,0.000943,0.001016,0.001278,0.001264,0.001519,0.001658,0.001615,0.001567,0.001645,0.001567,0.001548,0.001721,0.001767,0.001682,0.001774,0.002011,0.001999,0.002006,0.002494,0.002538,0.002599,0.002838,0.003271,0.003464,0.003837,0.004017,0.004248,0.004774,0.004927,0.005607,0.006784,0.006419,0.007341,0.00779,0.007993,0.010057,0.010084,0.011245,0.012852,0.013696,0.015369,0.016857,0.018206,0.02013,0.02197,0.023682,0.025961,0.027833,0.030798,0.033665,0.037529,0.039773,0.042887,0.045008,0.049125,0.052055,0.055981,0.061565,0.067108,0.075447,0.080465,0.0875,0.098494,0.106695,0.115131,0.126882,0.142756,0.154836,0.168848,0.178468,0.199575,0.214945,0.239097,0.244557,0.276791
"1967",0.02346,0.00164,0.000906,0.000695,0.000508,0.000504,0.000473,0.000415,0.000471,0.000407,0.000383,0.000373,0.000355,0.00044,0.000663,0.000712,0.000895,0.00111,0.001374,0.001432,0.001314,0.001788,0.001644,0.001644,0.001789,0.001516,0.001552,0.001515,0.001675,0.001726,0.001787,0.001857,0.001983,0.002071,0.002183,0.002411,0.002563,0.002857,0.002976,0.003199,0.003825,0.003944,0.004475,0.004667,0.00509,0.005993,0.006481,0.007504,0.007127,0.008146,0.008952,0.008323,0.01082,0.011244,0.012656,0.013799,0.01519,0.016619,0.018789,0.020801,0.022329,0.023787,0.026053,0.028368,0.030902,0.034198,0.036313,0.040343,0.043825,0.047924,0.050019,0.053884,0.057828,0.063525,0.068264,0.075006,0.08133,0.092117,0.097493,0.110965,0.119921,0.133372,0.146237,0.155493,0.174368,0.187868,0.197229,0.228001,0.243615,0.25734,0.290724
"1968",0.023151,0.001539,0.000791,0.000679,0.000672,0.000544,0.000475,0.000404,0.000421,0.000415,0.000359,0.000418,0.00042,0.000476,0.000705,0.000903,0.000982,0.001124,0.001429,0.001403,0.001491,0.001634,0.001591,0.001664,0.00162,0.001511,0.001529,0.001594,0.001618,0.001678,0.001588,0.001819,0.001919,0.002054,0.00228,0.002448,0.002515,0.002828,0.003215,0.003476,0.003788,0.004067,0.004508,0.004796,0.005323,0.005625,0.00637,0.00679,0.00831,0.007752,0.008902,0.009907,0.009544,0.011773,0.0123,0.013691,0.01494,0.016376,0.018325,0.020061,0.021804,0.02409,0.025948,0.028645,0.030977,0.033051,0.037072,0.040507,0.043634,0.047023,0.051624,0.05601,0.058905,0.06424,0.070241,0.075534,0.084219,0.090085,0.100221,0.110014,0.122034,0.133548,0.147528,0.160097,0.173495,0.190701,0.21491,0.220178,0.252425,0.268814,0.297099
"1969",0.022541,0.001553,0.000981,0.000666,0.000598,0.000495,0.000544,0.000441,0.000437,0.000406,0.000451,0.000414,0.000469,0.000454,0.000627,0.000799,0.001085,0.001263,0.001475,0.001693,0.001597,0.001828,0.001646,0.001478,0.001664,0.001648,0.00165,0.001561,0.00158,0.001788,0.001748,0.001813,0.001893,0.002179,0.002339,0.002452,0.002879,0.002985,0.003248,0.003434,0.003906,0.004205,0.004593,0.004809,0.005309,0.005858,0.006296,0.006959,0.007825,0.008811,0.008772,0.009998,0.010606,0.010379,0.013314,0.014208,0.015743,0.016846,0.018427,0.020632,0.022867,0.024837,0.027277,0.029674,0.032287,0.034428,0.038529,0.041609,0.046776,0.050386,0.05425,0.059106,0.062645,0.067813,0.07308,0.080678,0.08744,0.094562,0.103521,0.112048,0.120334,0.133202,0.151089,0.159471,0.173122,0.187742,0.205081,0.218882,0.238646,0.279724,0.291456
"1970",0.020848,0.001405,0.00084,0.000699,0.000672,0.000565,0.000503,0.000499,0.000421,0.000394,0.000353,0.000391,0.000401,0.000462,0.00059,0.000687,0.001018,0.001375,0.001595,0.00169,0.001541,0.001707,0.001653,0.001586,0.00157,0.001517,0.001607,0.00153,0.001667,0.001682,0.001836,0.001848,0.001958,0.001887,0.002087,0.002328,0.002578,0.002801,0.00311,0.003455,0.003487,0.003985,0.004342,0.004781,0.005148,0.005419,0.005944,0.006402,0.007255,0.007684,0.009156,0.008748,0.009882,0.010564,0.010905,0.013623,0.014363,0.01536,0.016725,0.01833,0.020619,0.022451,0.025547,0.026903,0.029346,0.031371,0.033888,0.038701,0.041679,0.044298,0.049262,0.053559,0.057412,0.06151,0.067303,0.074013,0.081837,0.087931,0.093911,0.106473,0.117358,0.127145,0.142068,0.152504,0.166445,0.178816,0.197519,0.21771,0.231764,0.244333,0.276766
"1971",0.019981,0.001306,0.000885,0.000677,0.000549,0.000553,0.000589,0.000427,0.000396,0.000443,0.000388,0.000374,0.000441,0.000442,0.000613,0.000914,0.00098,0.001314,0.001808,0.001834,0.00181,0.001854,0.001778,0.001617,0.001514,0.001596,0.001574,0.001627,0.001561,0.001716,0.001628,0.00172,0.001861,0.001904,0.002143,0.002252,0.002495,0.002763,0.003135,0.003384,0.003674,0.004137,0.004597,0.00497,0.005382,0.00556,0.006311,0.006671,0.007427,0.007859,0.008744,0.010109,0.010048,0.011524,0.011636,0.012394,0.014829,0.015396,0.01701,0.018454,0.020037,0.022528,0.024529,0.026708,0.029532,0.032133,0.034483,0.037643,0.040154,0.045895,0.050034,0.053762,0.05798,0.063136,0.06793,0.073226,0.081757,0.087781,0.09493,0.104425,0.118292,0.127075,0.139336,0.154681,0.166803,0.18786,0.204993,0.211654,0.239783,0.26599,0.277819
"1972",0.018277,0.001306,0.000865,0.000696,0.000562,0.000539,0.000454,0.000452,0.000376,0.000406,0.000418,0.000379,0.000373,0.000449,0.000569,0.000693,0.001027,0.001378,0.001906,0.002027,0.002035,0.001865,0.001915,0.001698,0.001506,0.001574,0.00164,0.001635,0.001663,0.001818,0.001862,0.001736,0.001945,0.002037,0.002203,0.002339,0.002558,0.002811,0.003,0.003486,0.003798,0.004126,0.004447,0.004677,0.00551,0.005638,0.006307,0.006881,0.007386,0.007874,0.008615,0.009614,0.01111,0.010234,0.012431,0.012904,0.012693,0.016482,0.016755,0.018392,0.019555,0.021893,0.023886,0.026218,0.028945,0.032046,0.034589,0.037887,0.040366,0.044467,0.04741,0.052989,0.057772,0.062772,0.069549,0.073956,0.080257,0.086776,0.095144,0.104206,0.113713,0.122971,0.135051,0.14711,0.163082,0.175883,0.197916,0.210631,0.219444,0.242283,0.269117
"1973",0.017403,0.001258,0.000879,0.000658,0.000608,0.000508,0.000516,0.000425,0.000431,0.000398,0.000371,0.000357,0.000374,0.000462,0.000565,0.000786,0.00108,0.001521,0.001769,0.002098,0.00192,0.001724,0.001984,0.001672,0.001474,0.001508,0.001441,0.001561,0.001539,0.001684,0.001781,0.001801,0.001502,0.002087,0.002103,0.002237,0.002283,0.00259,0.002922,0.003143,0.004003,0.00387,0.004283,0.004833,0.005431,0.005868,0.006245,0.006738,0.007418,0.008067,0.008749,0.00931,0.009927,0.011649,0.011328,0.0131,0.013686,0.014275,0.017596,0.017592,0.019773,0.021596,0.023306,0.025464,0.027634,0.031237,0.03342,0.036245,0.040949,0.042258,0.047198,0.052925,0.056727,0.062492,0.067826,0.074695,0.080382,0.088412,0.095275,0.105238,0.11604,0.1271,0.137954,0.153515,0.167114,0.185148,0.203092,0.218092,0.239749,0.259032,0.275792
"1974",0.016432,0.001242,0.000956,0.000671,0.000598,0.000481,0.000435,0.000449,0.000416,0.000368,0.000373,0.000357,0.000398,0.000456,0.000589,0.000728,0.001035,0.001322,0.001768,0.002015,0.001771,0.001692,0.001742,0.001579,0.001565,0.001514,0.001423,0.001385,0.001453,0.001538,0.001632,0.001621,0.001634,0.001747,0.001977,0.002239,0.002372,0.002708,0.002883,0.003183,0.003603,0.003842,0.004273,0.004897,0.005474,0.005851,0.006389,0.006613,0.007338,0.008072,0.008467,0.009041,0.010328,0.010847,0.013244,0.012137,0.014493,0.015334,0.014468,0.018848,0.019448,0.021219,0.023766,0.025277,0.027465,0.030466,0.032478,0.036319,0.038803,0.042726,0.046333,0.051093,0.055733,0.061833,0.068068,0.072858,0.078971,0.088624,0.095014,0.103735,0.113196,0.123934,0.131906,0.147151,0.16391,0.175807,0.19934,0.205723,0.227349,0.249865,0.265035
"1975",0.015329,0.001099,0.000772,0.000622,0.000524,0.000454,0.00044,0.00047,0.000414,0.000374,0.000362,0.000347,0.000383,0.000391,0.000578,0.000678,0.000871,0.001318,0.001689,0.001962,0.001795,0.001816,0.001615,0.001512,0.001508,0.001413,0.00148,0.001368,0.001411,0.001582,0.00146,0.001694,0.001588,0.001675,0.002003,0.002151,0.00226,0.002669,0.002874,0.003087,0.003459,0.003946,0.004403,0.004898,0.005523,0.006015,0.006406,0.006763,0.007581,0.008388,0.00896,0.00972,0.010178,0.011561,0.012166,0.014504,0.013145,0.014787,0.015927,0.015821,0.020878,0.021133,0.023262,0.025298,0.026902,0.030809,0.033807,0.035954,0.039295,0.042155,0.047667,0.051014,0.055246,0.06164,0.066487,0.074977,0.080392,0.088254,0.096305,0.103166,0.115241,0.123945,0.138987,0.151267,0.16442,0.184734,0.196936,0.216225,0.232155,0.251457,0.275213
"1976",0.014456,0.001081,0.000681,0.000506,0.000502,0.000446,0.000387,0.000371,0.00038,0.000316,0.000331,0.000354,0.00038,0.000369,0.000484,0.000697,0.001004,0.001423,0.001721,0.001869,0.00196,0.00196,0.001823,0.001697,0.00157,0.001634,0.00138,0.001428,0.001567,0.001527,0.001481,0.001705,0.00173,0.001768,0.001986,0.002061,0.002207,0.002612,0.002759,0.003165,0.003443,0.00394,0.004147,0.004628,0.005385,0.005869,0.006551,0.006866,0.007844,0.008178,0.009326,0.009959,0.010222,0.011188,0.012301,0.013179,0.015486,0.0141,0.016818,0.017889,0.017424,0.022144,0.022253,0.024606,0.027162,0.029003,0.032462,0.035017,0.038671,0.04166,0.046447,0.049731,0.05448,0.059623,0.06709,0.072533,0.079208,0.08499,0.095673,0.103597,0.111748,0.124776,0.134546,0.14992,0.158255,0.172601,0.200904,0.212284,0.231257,0.25499,0.285389
"1977",0.013756,0.000999,0.000726,0.000602,0.00047,0.000489,0.000465,0.00036,0.000372,0.000308,0.000271,0.000375,0.000369,0.000379,0.000508,0.000635,0.000942,0.001389,0.001746,0.001914,0.001799,0.00187,0.001791,0.001591,0.001607,0.001513,0.001346,0.001591,0.001413,0.001483,0.001514,0.001606,0.001638,0.001746,0.001975,0.002111,0.002104,0.002474,0.002619,0.003017,0.0031,0.003461,0.004116,0.004888,0.005268,0.005737,0.006275,0.007068,0.007472,0.007943,0.008869,0.009526,0.010312,0.010624,0.011761,0.012582,0.013443,0.016234,0.01525,0.01692,0.018087,0.017999,0.02282,0.023589,0.025798,0.027819,0.029626,0.03355,0.036618,0.039486,0.043941,0.047764,0.05326,0.057107,0.062839,0.068746,0.074772,0.082699,0.089846,0.098676,0.106091,0.1163,0.127198,0.1395,0.153097,0.162281,0.186324,0.196954,0.218793,0.246987,0.266921
"1978",0.0123,0.001081,0.000753,0.000606,0.000502,0.000407,4e-04,0.000414,0.000345,0.00038,0.000289,0.000296,0.000347,0.000399,0.000467,0.000661,0.001008,0.001332,0.001734,0.001695,0.001892,0.001798,0.00162,0.001593,0.001547,0.001438,0.00141,0.001443,0.001452,0.001378,0.001507,0.001437,0.001532,0.001811,0.001889,0.001994,0.002161,0.002137,0.002679,0.00288,0.003055,0.003531,0.004116,0.004476,0.005039,0.005852,0.00622,0.006858,0.007526,0.008126,0.00874,0.009458,0.010059,0.010633,0.011583,0.012287,0.013745,0.014594,0.016866,0.016059,0.018551,0.020966,0.019964,0.025817,0.025434,0.028763,0.029464,0.032874,0.035979,0.038965,0.043728,0.047839,0.051816,0.05778,0.062281,0.068524,0.075798,0.08391,0.093597,0.099581,0.110266,0.121568,0.131081,0.144944,0.159266,0.173979,0.185267,0.211546,0.220995,0.24417,0.26548
